ID,Tên Loại,Mã Máy,Trạng Thái
1,điện châm,Máy DC MS: 0972,Sẵn sàng
2,điện châm,Máy DC MS: 0973,Sẵn sàng
3,điện châm,Máy DC MS: 1090,Sẵn sàng
4,điện châm,Máy DC MS: 1091,Sẵn sàng
5,điện châm,Máy DC MS: 1169,Sẵn sàng
6,điện châm,Máy DC MS: 1172,Sẵn sàng
7,điện châm,Máy DC MS: 1173,Sẵn sàng
8,điện châm,Máy DC MS: 1174,Sẵn sàng
9,điện châm,Máy DC MS: 1175,Sẵn sàng
10,điện châm,Máy DC MS: 1176,Sẵn sàng
11,điện châm,Máy DC MS: 1177,Sẵn sàng
12,điện châm,Máy DC MS: 1178,Sẵn sàng
13,điện châm,Máy DC MS: 1179,Sẵn sàng
14,điện châm,Máy DC MS: 1180,Sẵn sàng
15,điện châm,Máy DC MS: 1247,Sẵn sàng
16,điện châm,Máy DC MS: 1266,Sẵn sàng
17,điện châm,Máy DC MS: 1270,Sẵn sàng
18,điện châm,Máy DC MS: 1273,Sẵn sàng
19,điện châm,Máy DC MS: 1274,Sẵn sàng
20,điện châm,Máy DC MS: 1300,Sẵn sàng
21,điện xung,DX 01 - Máy 1A,Sẵn sàng
22,điện xung,DX 02 - Máy 1.1A,Sẵn sàng
23,điện xung,DX 03 - Máy 1B,Sẵn sàng
24,điện xung,DX 04 - Máy 1.1B,Sẵn sàng
25,hồng ngoại,Đèn HN 01,Sẵn sàng
26,hồng ngoại,Đèn HN 02,Sẵn sàng
27,hồng ngoại,Đèn HN 03,Sẵn sàng
28,hồng ngoại,Đèn HN 04,Sẵn sàng
29,hồng ngoại,Đèn HN 05,Sẵn sàng
30,hồng ngoại,Đèn HN 06,Sẵn sàng
31,hồng ngoại,Đèn HN 07,Sẵn sàng
32,hồng ngoại,Đèn HN 08,Sẵn sàng
33,hồng ngoại,Đèn HN 09,Sẵn sàng
34,hồng ngoại,Đèn HN 10,Sẵn sàng
35,hồng ngoại,Đèn HN 11,Sẵn sàng
36,hồng ngoại,Đèn HN 12,Sẵn sàng
37,hồng ngoại,Đèn HN 13,Sẵn sàng
38,hồng ngoại,Đèn HN 14,Sẵn sàng
39,hồng ngoại,Đèn HN 15,Sẵn sàng
40,hồng ngoại,Đèn HN 16,Sẵn sàng
41,kéo giãn,Máy KG 01,Sẵn sàng
42,parafin,Sáp PA 01,Sẵn sàng
43,parafin,Sáp PA 02,Sẵn sàng
44,parafin,Sáp PA 03,Sẵn sàng
45,parafin,Sáp PA 04,Sẵn sàng
46,parafin,Sáp PA 05,Sẵn sàng
47,parafin,Sáp PA 06,Sẵn sàng
48,parafin,Sáp PA 07,Sẵn sàng
49,parafin,Sáp PA 08,Sẵn sàng
50,parafin,Sáp PA 09,Sẵn sàng
51,parafin,Sáp PA 10,Sẵn sàng
52,parafin,Sáp PA 11,Sẵn sàng
53,parafin,Sáp PA 12,Sẵn sàng
54,parafin,Sáp PA 13,Sẵn sàng
55,parafin,Sáp PA 14,Sẵn sàng
56,parafin,Sáp PA 15,Sẵn sàng
57,parafin,Sáp PA 16,Sẵn sàng
58,parafin,Sáp PA 17,Sẵn sàng
59,parafin,Sáp PA 18,Sẵn sàng
60,parafin,Sáp PA 19,Sẵn sàng
61,parafin,Sáp PA 20,Sẵn sàng
62,siêu âm,Máy SA 01,Sẵn sàng
63,sóng ngắn,Máy SN 01,Sẵn sàng